Idade,Gênero,Renda_Mensal,Nu_de_E-mails_Enviados,Num_de_E-mails_Abertos,Tempo_no_Site_(min),Valor_Gasto
61,0,3283,3,2,4,343.52
66,0,1906,4,3,1,306.22
57,1,2474,2,1,25,344.15
28,0,3621,9,3,24,419.68
20,1,3437,8,1,49,510.93
23,1,3580,3,2,21,400.17
26,0,3858,7,4,38,504.33
23,0,4745,4,2,21,495.56
26,1,3397,5,0,10,337.03
56,1,2139,4,1,10,261.11
48,1,1972,9,4,59,570.25
49,1,4063,7,7,44,683.76
58,1,2564,4,4,3,393.45
67,0,1951,8,2,32,444.84
29,1,3815,2,0,17,358.25
25,1,2071,7,7,30,355.16
25,1,3891,1,0,43,539.03
67,0,3275,8,0,57,522.04
45,0,4548,6,3,27,517.05
37,1,4701,5,2,41,618.71
64,1,4022,9,4,59,690.72
24,0,2862,9,2,21,310.48
28,0,2228,3,2,39,392.33
37,0,3356,9,1,2,231.06
33,0,4557,9,8,6,334.77
21,1,4943,2,0,56,617.19
23,0,4908,5,5,19,439.65
39,1,4170,2,1,42,624.55
43,1,2627,1,1,6,268.25
20,0,4672,7,2,6,377.02
58,0,1423,4,3,28,299.8
59,0,3698,5,0,59,530.67
31,0,3307,4,0,25,337.31
28,1,3912,6,6,40,514.55
35,1,3842,2,0,2,254.17
29,1,4241,8,1,42,637.27
40,0,1459,4,2,16,230.37
29,1,3776,8,0,39,607.37
30,0,3668,3,2,19,308.66
42,1,2982,5,3,33,392.67
62,0,4602,3,2,52,698.66
68,1,1988,7,2,51,524.07
36,1,3774,3,1,32,487.64
63,0,2165,8,2,15,261.47
53,1,2471,9,6,59,632.64
62,1,4946,2,0,22,462.72
25,0,4374,3,1,3,290.0
46,0,4214,7,1,55,564.0
49,0,1965,5,2,40,427.76
68,0,1814,10,8,39,532.98
61,0,2542,7,6,32,481.15
35,1,3498,2,0,7,352.45
23,0,4040,4,2,4,282.55
35,1,3639,1,0,32,440.18
36,1,3471,5,1,56,609.06
39,0,4822,8,6,24,493.53
54,1,4402,1,0,6,404.43
49,1,1959,7,0,46,495.84
58,0,2561,7,2,6,242.39
20,1,1474,7,0,58,525.18
45,0,2255,1,0,32,350.28
27,0,4565,3,2,40,508.46
68,0,2420,2,0,32,414.77
52,1,3254,5,4,28,529.34
46,1,3443,2,0,43,546.11
32,1,2734,5,5,38,488.2
50,1,3493,5,1,56,687.09
24,0,2163,4,0,40,195.98
29,1,1460,7,6,31,458.13
66,0,2069,10,3,36,491.46
47,1,3072,6,1,43,430.81
38,1,2112,2,1,28,428.06
48,1,2492,4,2,21,448.52
41,1,3568,7,6,1,403.49
37,1,2952,9,3,49,468.65
54,0,4444,9,6,57,709.33
21,1,3483,3,0,8,356.51
45,1,3680,1,1,28,445.39
61,1,3395,9,7,32,593.81
37,1,1726,8,7,9,307.64
41,0,3753,7,4,59,648.92
67,1,4493,6,6,27,587.97
66,0,3112,10,10,45,583.59
68,1,4479,7,5,52,717.99
49,0,4964,9,7,45,574.12
58,0,2429,6,0,38,420.52
53,0,2049,10,4,11,321.55
51,0,3726,3,2,57,636.8
53,0,3547,3,3,21,430.8
19,1,3914,4,0,53,477.07
32,0,3061,10,10,5,409.66
51,1,4631,10,7,44,745.36
53,0,4216,8,2,39,537.43
23,0,3890,10,0,22,312.9
56,1,3187,9,5,52,604.77
59,0,3378,8,7,57,631.72
68,0,4370,10,10,33,633.43
68,0,3375,2,2,41,514.53
29,0,3179,4,0,37,359.03
20,1,1653,4,2,15,318.8
62,0,2113,2,2,9,307.51
35,0,4361,8,4,46,505.43
57,1,2152,3,2,20,406.17
38,1,3525,2,0,51,565.34
32,0,4431,7,4,9,334.65
50,0,3837,1,1,10,411.6
52,1,3847,6,0,20,453.09
43,0,3226,3,3,24,386.47
25,1,2192,3,3,59,530.43
53,0,3668,5,2,33,496.6
65,1,4898,3,0,53,686.29
47,1,1427,4,2,30,381.32
40,1,4780,3,0,26,552.3
59,0,2397,7,1,24,296.93
61,0,4703,3,2,59,609.57
31,0,1778,10,10,41,494.75
31,0,4239,4,2,31,569.74
19,1,2664,2,1,52,535.02
54,1,3899,2,0,43,661.16
22,1,2101,9,5,10,277.33
55,0,4933,1,0,53,589.8
62,0,2471,1,0,46,500.38
58,0,2258,10,8,25,481.58
64,1,1833,1,0,59,499.07
31,0,3055,3,1,35,389.09
56,0,2624,2,2,36,441.85
42,1,4661,3,1,55,618.11
37,1,2019,5,2,59,511.84
19,0,2750,9,6,32,437.65
56,1,1431,2,1,32,427.03
23,0,2087,1,1,41,405.27
34,1,1793,6,4,35,439.49
42,1,2020,3,0,12,251.34
45,1,3602,7,6,13,466.26
19,0,1473,6,0,57,349.05
52,0,2677,7,4,50,512.26
54,0,3697,5,3,36,451.04
22,1,2566,1,1,42,411.76
18,1,3040,3,0,57,527.52
57,1,3038,3,0,39,488.03
29,1,2558,7,1,0,201.74
53,0,2875,3,3,4,356.64
62,0,2338,5,4,29,419.92
40,0,3801,4,1,52,513.65
64,1,2854,4,4,17,391.58
48,1,3065,7,3,44,455.65
28,0,3914,1,0,36,420.6
27,1,4681,7,5,55,594.14
20,0,1693,8,3,57,475.25
31,1,2297,3,3,38,448.32
33,1,2436,3,3,11,400.72
27,0,2134,4,2,33,356.85
46,0,3210,6,5,44,486.17
27,1,4815,7,4,13,355.75
29,0,2647,1,1,37,425.68
47,0,1498,4,1,15,188.95
58,1,2076,7,6,41,514.39
18,1,2273,2,1,58,583.35
22,1,3134,1,1,10,341.25
37,0,3520,1,0,32,429.49
25,1,4256,10,3,14,460.02
60,1,3554,6,3,47,658.05
29,1,2197,5,1,41,511.9
18,1,2988,1,0,9,250.29
37,1,4630,10,1,2,356.67
45,0,4729,3,0,10,330.33
60,1,3079,7,6,10,432.32
54,1,4420,9,6,15,507.39
64,0,3756,9,7,37,483.05
54,1,4606,6,2,29,520.6
29,1,2105,3,1,40,495.21
54,0,4939,1,1,0,377.16
66,1,3858,3,3,59,735.67
66,0,4405,10,1,37,541.22
61,1,2666,2,1,49,465.95
45,0,1945,5,4,56,500.82
64,0,1813,8,4,44,530.73
32,1,1541,5,0,33,296.77
23,0,3751,1,1,59,575.9
61,0,1687,3,0,18,211.26
37,1,4371,5,2,59,658.56
67,1,3270,7,5,33,589.73
31,0,4859,5,5,58,629.34
19,1,4385,10,4,35,645.87
26,0,1466,5,1,3,125.64
54,0,4198,7,5,9,383.98
37,1,4509,8,8,16,519.67
43,1,4924,8,3,55,649.45
46,0,2176,7,5,15,253.73
18,1,2632,3,0,20,262.72
52,1,2053,2,1,27,439.55
23,0,4726,1,1,7,312.05
54,0,3259,6,5,28,546.05
22,0,2135,9,5,5,203.69
50,0,2625,3,0,29,411.78
66,0,2213,5,3,1,303.19
68,0,2149,9,6,54,550.64
31,1,2169,9,8,57,541.51
29,0,3003,7,7,46,421.56
59,1,4026,4,1,30,556.96
37,1,2711,2,2,24,459.46
67,0,3253,2,1,22,337.15
41,1,4892,4,4,42,608.08
60,0,1751,1,0,20,274.2
51,1,1564,4,3,15,362.77
42,0,3000,6,0,3,232.57
67,0,2833,6,0,42,551.8
46,0,2879,7,7,45,511.73
56,0,4463,5,0,7,308.33
48,1,1838,9,4,5,279.46
64,1,4462,2,0,52,643.17
60,1,4970,2,1,54,724.8
67,1,3663,4,3,26,508.47
40,1,2547,4,0,50,529.35
61,0,3784,4,0,56,551.68
55,0,4741,1,1,35,517.32
37,0,2361,4,3,59,477.8
40,0,4410,5,3,35,463.17
62,0,2785,9,3,23,471.99
69,1,3442,3,3,5,379.34
33,0,4398,3,1,42,488.52
67,0,2368,5,3,32,494.63
59,1,3113,10,10,1,466.15
25,1,4353,6,4,40,639.71
67,0,3894,3,3,15,457.84
38,0,4909,1,1,37,486.43
18,1,2715,10,7,54,664.61
25,0,1782,8,6,58,518.2
46,0,4392,1,0,8,343.87
49,0,3708,2,1,50,546.27
55,1,4350,3,1,4,416.46
22,0,3640,6,5,52,524.16
64,0,2114,4,1,9,219.91
39,1,4458,4,1,29,587.24
64,1,3086,9,0,6,361.21
51,1,3537,6,4,28,518.02
18,0,4378,2,1,1,373.81
43,1,4344,7,5,19,464.04
60,0,3795,3,0,58,632.52
27,1,1461,9,0,3,152.44
47,0,3544,6,5,27,472.25
67,1,4154,8,5,7,486.78
35,0,3463,1,1,57,577.68
34,0,2404,2,2,34,438.61
43,1,3776,6,5,1,350.82
25,1,2546,3,0,40,498.13
64,0,2769,1,1,27,485.82
57,1,3286,6,0,10,365.8
66,0,2174,5,2,35,435.37
29,1,4616,9,0,8,354.08
44,1,4071,6,2,37,531.28
25,0,2416,5,1,0,120.63
42,1,4373,1,0,26,521.53
63,1,4258,1,0,2,296.39
21,0,3578,1,0,38,376.05
50,0,1761,7,6,8,285.74
18,1,4376,6,6,39,624.79
36,0,2098,5,1,27,294.64
48,1,1953,4,1,20,375.04
33,1,4538,8,6,27,533.85
31,0,1772,8,2,44,437.86
65,0,4167,5,0,23,472.13
22,0,4936,4,1,17,427.31
58,0,4144,2,1,50,555.67
43,0,3789,7,7,55,569.75
45,0,3678,5,0,8,332.26
19,1,3667,3,0,25,371.96
67,1,3105,9,1,23,465.77
23,0,4304,9,1,51,542.06
26,1,1496,10,5,5,313.9
50,1,2096,8,6,58,644.13
58,1,1656,1,1,52,484.75
42,1,4331,3,0,11,348.3
65,0,4482,2,1,35,624.47
30,1,2770,4,3,8,239.37
26,1,4695,2,2,9,379.12
30,0,2007,8,4,2,242.61
48,0,4144,1,0,48,625.14
58,0,4666,4,1,28,489.82
28,0,2568,5,4,6,255.77
21,1,4473,10,4,25,436.9
51,0,4473,4,3,7,396.98
55,1,3235,8,7,42,544.24
63,1,3209,2,2,12,378.94
21,0,1761,9,3,34,368.24
55,0,3741,2,2,18,385.37
36,0,3752,2,0,45,530.46
23,0,2704,2,0,21,278.52
51,0,3296,10,5,15,323.36
35,0,4680,8,1,14,442.42
30,1,2972,3,0,1,197.83
58,1,2395,10,7,37,510.66
40,1,3479,10,6,20,453.97
36,1,4218,8,8,29,608.19
62,0,3275,7,4,6,331.43
28,0,3391,10,4,30,369.21
18,1,3148,4,2,40,471.53
41,1,3864,7,2,40,534.5
24,1,2550,8,8,48,522.13
42,0,3330,6,2,54,551.32
38,0,2112,6,4,34,331.42
32,0,4439,3,0,3,214.86
18,1,3485,5,0,33,532.19
29,1,1977,10,9,0,302.06
24,0,1806,2,1,9,202.01
32,0,3368,5,2,29,358.3
38,1,4460,5,2,31,568.88
36,1,4864,7,7,2,418.53
46,0,1934,4,4,9,134.39
42,1,2974,6,4,8,334.35
50,0,4321,9,1,16,391.98
66,0,2518,4,0,46,479.4
49,1,4261,6,3,2,391.1
66,1,1961,9,6,26,437.8
52,1,2880,10,7,52,590.92
61,0,3546,1,0,34,454.4
55,1,2244,8,5,3,254.93
43,1,1798,1,0,3,143.02
28,0,2374,4,3,48,449.6
52,0,4127,3,2,31,491.09
25,1,2833,4,3,37,500.62
63,0,1697,7,1,10,258.07
31,0,4157,9,0,43,425.17
27,0,4424,9,4,54,488.22
19,1,1780,10,7,59,497.49
63,1,4114,1,1,38,602.83
26,0,2857,10,5,44,536.92
20,0,3153,1,0,5,225.35
38,0,4113,9,1,54,500.97
43,1,4156,4,1,34,479.8
25,0,2878,3,3,52,441.46
65,0,3188,9,4,45,534.1
19,1,2955,5,1,31,456.79
23,0,4483,6,3,45,585.1
45,1,2326,1,0,22,357.69
46,1,1699,1,0,41,441.1
43,1,1506,7,7,36,421.42
42,0,4128,10,1,25,339.9
29,0,3500,8,2,33,507.42
22,1,1742,8,3,37,279.98
51,0,3248,7,1,54,452.61
65,1,3216,9,3,10,510.62
54,0,2590,1,1,49,493.33
32,1,3963,2,2,57,560.85
61,1,1686,3,1,55,575.44
53,0,3000,5,3,20,424.65
32,0,3638,4,4,42,429.27
60,0,3368,4,2,23,396.76
65,0,3187,8,6,14,463.16
40,1,3596,8,2,2,298.95
23,1,2178,7,0,1,224.01
63,0,2399,1,0,6,347.19
67,0,3171,10,6,4,252.93
61,1,2615,4,1,52,555.69
60,0,4665,1,0,44,586.33
62,0,4742,5,3,39,496.5
38,0,3702,3,3,28,404.62
40,0,2531,3,1,40,468.77
60,1,1608,4,2,31,390.18
33,1,1937,2,2,29,303.63
64,0,2043,7,3,7,351.69
32,1,2822,4,4,31,472.33
42,0,1819,5,5,41,426.51
53,0,2704,2,0,1,241.28
28,0,2606,6,5,9,332.71
68,1,3360,9,7,42,648.73
32,1,2102,8,7,54,591.38
21,1,3629,8,7,42,518.82
38,1,1570,2,0,36,288.63
30,1,4992,4,1,45,625.7
39,0,3906,8,5,54,648.35
36,0,3101,1,0,2,225.82
51,1,3349,8,3,51,648.84
31,1,2429,3,3,22,356.69
21,1,4565,8,3,33,510.72
65,0,2492,6,3,17,457.22
69,1,1523,7,3,32,439.57
63,0,1459,2,1,32,351.42
44,0,3322,1,0,59,455.6
46,1,1787,6,5,16,395.85
64,0,2239,3,2,5,249.46
45,0,3492,4,4,12,371.96
52,1,3963,9,8,20,516.4
25,0,2038,3,3,30,309.61
33,1,3331,2,1,57,571.66
59,0,2438,2,1,55,522.86
53,1,4969,2,2,20,583.25
47,1,4999,6,0,32,629.96
35,0,3303,2,0,27,402.69
19,1,3501,7,1,55,611.63
66,0,3468,7,6,5,433.11
30,0,4459,7,7,7,412.68
21,1,2230,2,1,12,346.26
43,0,2068,7,5,33,338.98
42,1,3223,10,3,57,575.93
47,0,4625,8,7,39,549.2
28,0,2201,8,6,21,315.98
24,1,2871,2,0,0,275.85
48,0,4510,5,1,12,335.74
61,0,4526,6,5,0,423.44
27,0,2566,9,6,9,257.95
56,0,4699,6,1,59,634.6
30,0,3041,10,8,4,322.07
48,0,2955,6,6,54,657.81
24,0,4057,10,7,19,380.23
66,0,4828,10,4,12,469.4
59,1,4991,6,6,57,708.64
59,0,3085,9,2,36,436.15
53,0,3316,10,1,9,272.43
37,1,2848,7,6,2,348.64
21,1,2347,1,1,33,405.62
24,1,4729,1,0,33,533.8
18,0,4932,4,0,29,389.92
61,1,4471,2,0,36,600.95
62,1,1432,3,2,3,286.26
59,0,2410,7,1,33,410.61
64,0,2843,7,3,31,393.08
30,1,1868,3,2,20,331.06
39,1,2879,2,1,57,576.2
38,0,3439,1,1,40,463.04
39,0,4473,9,6,23,496.65
45,0,1676,10,0,8,248.53
26,0,3643,3,1,40,389.25
43,0,3686,9,0,23,374.47
26,1,4729,4,0,24,484.24
32,0,3458,10,4,35,438.48
27,0,4556,6,6,7,424.77
41,0,4633,7,5,49,613.16
59,0,4996,10,3,40,500.05
25,0,4552,6,0,28,459.57
41,1,2380,1,1,24,375.14
33,0,2216,6,1,58,388.31
66,1,2665,6,1,34,482.64
43,0,2134,5,4,37,354.28
44,1,2507,3,3,27,466.01
54,1,2413,10,10,54,646.86
21,0,4334,3,0,18,302.51
67,0,4880,10,0,31,573.54
41,0,1495,7,1,36,369.68
36,0,2151,8,7,48,477.76
53,0,4782,3,2,58,592.82
56,1,4776,3,1,50,618.68
27,0,3169,7,2,27,324.58
42,0,3405,10,9,55,656.57
35,1,1634,7,0,34,287.66
36,0,4252,9,2,7,337.24
53,1,4192,6,2,40,573.09
27,0,4699,7,5,53,655.73
50,1,4714,10,2,22,527.34
67,0,3864,1,0,53,618.96
22,1,2604,7,2,39,412.93
64,1,1740,2,1,45,438.45
66,0,1837,7,7,22,387.58
52,0,2989,3,3,31,477.31
61,0,2181,9,4,9,354.79
51,1,2631,5,3,16,372.02
50,1,2019,7,0,34,377.91
38,1,3264,8,5,34,456.37
34,0,3985,2,0,2,270.42
39,0,4084,1,1,35,474.03
65,1,3536,7,2,28,590.46
54,0,3458,6,6,48,587.07
32,1,2712,6,3,45,535.29
52,0,2331,2,1,26,321.53
45,0,4405,3,0,30,462.34
24,1,1877,4,0,33,363.85
49,0,3376,3,3,11,344.77
28,0,2883,2,1,36,389.06
27,0,4803,3,0,58,590.46
26,0,3357,6,5,53,558.9
31,0,2595,9,5,24,420.21
30,1,3951,4,1,1,209.27
42,0,3772,6,5,29,523.29
19,1,3066,1,0,43,370.76
52,0,3451,6,6,8,391.99
24,0,2596,3,2,22,425.58
38,1,3767,9,9,8,442.22
35,1,4629,4,3,19,485.45
20,0,3110,7,7,54,519.99
59,0,4879,4,0,0,395.31
56,1,4150,6,4,55,702.61
58,1,3548,7,3,38,529.6
66,1,4194,2,1,22,505.98
28,1,2189,10,2,17,264.53
56,0,4210,6,0,41,521.55
41,0,4791,8,0,31,455.58
63,0,3830,6,4,46,594.33
36,0,3910,2,2,8,292.0
21,0,1578,4,1,10,170.18
43,1,3851,1,1,55,613.99
55,1,2147,7,3,0,301.27
59,1,3950,8,8,10,509.21
49,0,2336,10,7,32,436.09
56,1,2585,2,1,29,406.92
62,0,2903,10,6,4,353.25
63,0,3401,5,1,49,542.11
53,0,2478,8,7,0,351.13
57,1,2356,8,3,9,414.34
54,0,1440,5,0,59,406.4
50,0,3309,8,4,12,396.31
53,1,3067,6,5,26,530.24
20,0,3284,5,0,7,171.91
26,1,2466,4,2,27,409.27
25,0,4152,5,2,44,542.4
50,1,3109,4,3,51,542.97
23,0,3587,1,0,1,218.53
58,0,4226,3,2,52,616.62
56,1,4777,8,0,11,484.37
21,0,3900,7,0,26,317.58
30,1,4328,7,1,12,454.25
66,0,2823,3,0,59,466.68
19,1,3201,9,5,21,469.24
22,0,3077,6,0,39,420.36
61,0,1935,8,1,14,267.66
44,0,2982,8,6,30,490.32
49,1,3145,3,1,6,292.86
38,1,2171,4,1,38,440.3
25,1,3569,6,3,48,560.38
55,1,2763,2,1,50,569.96
25,1,4888,7,5,34,522.41
67,0,2680,2,0,6,273.2
20,0,3197,5,0,11,261.19
61,0,3264,4,1,13,323.86
20,0,3622,9,1,33,409.67
39,0,4019,2,0,57,533.24
23,1,1810,7,1,38,436.5
19,0,4042,7,6,47,613.23
40,1,3858,7,3,8,378.03
61,0,4976,1,1,32,586.81
19,1,3081,8,2,11,306.43
55,1,1650,2,2,33,380.68
34,1,4948,5,2,26,494.11
52,0,3015,2,2,21,384.03
51,0,4515,5,2,17,343.4
40,0,2558,7,7,45,534.18
47,0,2969,6,6,43,521.75
69,1,3569,5,4,17,541.48
25,1,2706,4,1,36,455.71
39,1,4863,8,1,6,417.15
61,1,1711,8,8,3,334.76
53,0,4461,1,0,44,625.19
22,1,3177,10,5,15,486.34
30,0,2175,2,1,21,266.79
46,1,1660,3,2,59,592.11
48,1,3980,1,0,47,544.66
64,1,1445,3,0,50,470.87
33,0,1639,10,5,35,353.64
59,0,1996,8,5,19,397.03
47,1,4882,4,3,30,514.35
33,1,4417,7,0,51,669.35
29,1,4272,7,3,59,693.49
34,0,2135,5,3,32,397.83
33,0,4043,1,0,12,313.46
29,0,1981,10,7,51,523.52
25,1,1631,4,1,19,140.68
37,0,2806,7,7,53,571.35
20,1,4246,5,4,40,550.31
33,0,3987,2,0,41,376.04
47,1,3534,8,1,37,536.01
62,1,3053,2,1,21,471.19
40,0,1547,8,7,38,324.66
45,1,3533,2,2,22,387.31
68,1,1665,5,1,47,617.47
57,1,4501,4,4,48,659.73
22,0,3366,1,0,55,536.08
37,1,4481,8,3,32,594.39
57,0,4526,10,2,40,580.0
61,0,1461,3,1,29,400.91
18,1,1926,4,1,13,151.66
47,0,4203,4,2,46,542.62
38,1,4190,5,5,35,406.47
37,0,4030,3,3,56,498.2
23,1,3249,9,2,7,286.15
39,0,1987,4,2,56,444.08
35,1,4786,10,9,46,681.37
25,1,2577,4,2,21,352.82
56,1,2314,6,3,56,594.39
49,1,3661,8,7,3,424.79
50,0,3666,7,0,50,549.95
33,0,1826,4,0,34,279.35
29,1,3680,4,4,7,330.76
55,0,4845,5,0,33,515.41
69,1,4217,10,9,59,782.78
51,1,2516,5,4,21,368.7
31,0,2174,1,0,24,344.78
53,0,1974,8,8,24,440.94
50,1,4768,10,9,39,630.41
40,0,3828,5,4,39,495.98
67,1,2927,3,2,16,530.83
62,0,3346,3,3,15,404.33
19,0,4355,4,1,47,520.53
58,0,2781,7,1,47,469.6
38,0,1615,5,5,58,481.09
19,0,4508,1,1,38,538.97
44,1,4416,5,0,14,434.46
26,0,2988,5,5,16,327.85
18,0,1480,6,0,56,390.38
28,1,1927,7,5,34,549.62
20,1,4975,5,2,32,520.74
69,1,3699,2,2,39,546.45
40,0,1772,2,0,38,325.83
43,0,2876,4,3,17,383.84
21,1,2466,1,0,29,288.88
35,1,3334,7,2,22,439.23
23,1,3064,1,1,36,403.01
52,1,2118,3,1,46,406.96
39,0,3037,10,8,6,290.85
60,0,4149,7,6,9,433.83
32,0,2068,6,5,15,362.16
39,0,2757,7,4,27,436.52
54,0,1755,5,3,22,321.07
69,1,1947,8,6,33,558.96
59,0,1766,6,2,17,293.46
29,1,4954,4,4,46,552.37
64,1,2339,1,1,22,416.0
66,1,2394,2,0,50,476.4
59,0,3429,6,6,19,484.02
55,1,3564,4,2,30,548.49
35,0,2757,3,1,13,238.85
62,1,3007,7,2,22,461.63
52,0,3318,7,6,1,341.7
47,1,4421,2,0,28,548.65
41,0,1938,8,2,49,381.65
59,1,3963,1,1,8,446.12
47,1,4568,10,4,58,636.56
31,1,2342,7,6,32,487.96
23,1,4168,10,0,47,592.53
20,0,3694,1,0,43,406.22
33,0,3358,3,3,11,379.86
24,0,2698,3,0,18,194.2
69,1,4489,10,9,41,762.43
31,1,3953,2,2,19,496.57
26,1,3328,10,5,36,515.69
32,1,4772,5,2,30,512.82
38,1,3005,4,4,34,501.87
52,1,4337,6,2,40,560.66
19,0,2785,2,0,20,408.48
44,0,2635,4,0,54,460.42
19,0,3371,7,2,46,522.42
52,0,4426,1,0,45,513.24
35,0,2377,3,2,42,498.69
31,0,2375,1,0,12,341.37
37,0,2308,2,2,38,418.7
35,0,2770,9,1,26,362.83
27,1,1628,10,2,24,277.57
42,1,2034,5,3,1,216.92
19,1,1764,4,4,34,401.1
42,1,2103,4,3,51,597.06
50,1,4134,8,8,7,444.29
53,1,2042,3,0,32,528.5
48,1,3784,4,3,24,454.69
31,0,4360,2,1,20,401.47
18,0,4711,6,0,35,458.15
63,1,2580,9,3,12,389.92
33,0,3767,4,1,55,437.16
63,0,2065,6,1,45,433.3
69,0,3744,4,0,8,375.18
20,0,1803,2,2,34,315.35
52,0,3819,6,3,45,581.76
58,1,2180,7,3,35,517.84
23,0,2208,4,3,48,414.4
42,1,2343,7,7,46,503.03
30,1,3382,8,5,43,621.52
51,1,1576,3,0,45,388.03
25,0,2144,2,1,50,387.43
38,1,1992,5,3,9,258.1
51,1,2232,2,0,4,320.92
21,1,2659,10,3,30,470.8
42,1,1535,5,4,23,357.07
32,0,3383,10,1,31,409.64
21,1,1755,6,4,48,481.19
62,1,3286,8,7,48,738.5
29,1,1935,6,0,2,126.07
49,1,4535,4,1,15,496.96
49,0,1540,3,1,56,483.83
45,1,2570,2,2,40,469.96
30,1,4116,1,1,48,582.11
48,1,4610,2,0,19,508.54
31,1,4197,2,0,43,566.01
37,1,4398,5,5,23,616.83
35,1,3530,9,4,33,507.87
46,0,3732,1,1,51,544.95
23,1,2622,4,0,47,453.04
49,0,2438,10,4,22,397.55
46,0,2720,7,5,54,546.4
60,1,1433,10,9,52,592.31
19,0,1577,3,3,54,417.74
40,1,2745,8,1,37,455.52
36,0,4334,3,2,1,283.27
48,1,2912,8,3,40,542.51
68,0,1909,2,0,4,237.2
22,0,1845,5,2,17,271.93
36,1,4217,4,4,53,643.39
51,0,3693,9,3,57,582.32
27,0,2248,3,3,52,534.64
42,0,3105,5,5,49,529.13
19,0,2074,10,9,28,402.84
28,0,2136,9,5,9,222.8
67,1,1787,6,1,41,387.07
48,0,4189,2,2,54,567.1
32,0,4729,1,1,41,408.58
26,1,1714,1,0,49,420.86
40,1,3864,7,1,15,481.63
36,1,3098,2,0,22,341.64
26,0,2119,7,6,29,257.65
52,0,2328,1,0,5,320.41
38,0,3480,4,1,43,451.23
26,0,1668,10,6,59,489.61
45,1,1810,4,2,35,464.91
63,1,1462,5,4,19,410.26
68,0,3906,10,5,15,493.83
24,0,4753,1,1,27,475.67
33,0,4286,7,3,53,487.99
33,0,2006,2,1,56,385.58
50,1,2229,2,2,25,465.01
21,1,2047,8,7,21,330.26
21,0,4745,9,6,53,570.62
56,1,4848,6,5,10,441.26
57,0,2484,1,0,0,217.95
34,0,3064,1,0,4,223.73
54,1,2553,7,4,48,518.78
56,0,2888,8,0,42,413.75
69,1,2186,3,1,45,548.23
46,0,4432,9,5,40,523.22
69,1,3382,4,4,41,571.78
53,0,3076,4,0,35,325.49
55,1,1808,3,3,1,382.31
56,0,4142,8,0,56,646.19
67,0,4510,9,5,5,409.76
54,1,4170,1,0,26,451.55
69,0,2807,2,1,25,413.89
52,1,2532,1,0,34,449.77
24,1,1940,4,2,12,211.2
44,0,2096,10,9,11,210.27
45,0,4072,7,7,17,422.3
39,0,3645,7,2,37,387.08
31,0,4155,6,3,41,513.32
24,1,3674,5,4,5,355.6
54,0,4734,4,4,27,471.04
39,0,3675,8,7,27,440.02
22,0,3488,7,6,24,486.55
19,1,1513,10,3,4,252.41
44,0,1534,1,0,58,432.09
38,1,3513,6,6,14,546.25
55,0,2718,2,0,46,416.05
32,1,3049,4,3,43,470.82
38,0,2552,5,0,8,238.07
27,0,2027,8,8,44,378.8
40,1,1968,6,6,47,612.92
56,0,1525,2,1,52,467.41
22,0,4314,5,1,1,235.2
18,0,2978,5,5,48,497.29
30,1,4135,6,5,8,414.05
38,0,2388,1,1,25,315.17
43,1,2112,8,6,22,351.17
67,1,2728,3,0,50,498.59
62,1,4678,5,2,27,672.24
38,0,3751,7,5,5,270.91
35,1,1672,3,0,57,573.5
54,1,4690,10,4,3,405.26
62,0,4023,6,0,29,509.65
49,1,3508,5,5,56,676.67
53,1,2441,7,2,46,561.32
34,0,1790,10,1,17,289.1
52,0,4877,3,1,29,422.27
66,1,3321,2,0,26,444.23
28,0,3683,4,1,43,396.75
38,0,2458,3,1,30,368.37
69,0,2419,4,3,43,437.78
43,1,4116,7,2,51,517.75
21,1,1521,5,4,48,436.18
51,0,4183,4,0,38,390.7
69,1,4012,6,4,29,586.54
65,0,2834,7,6,51,523.82
35,0,4655,5,1,36,450.72
57,0,2417,7,1,11,185.83
52,0,2109,3,3,16,401.96
58,0,4185,7,7,33,487.1
46,1,1717,3,1,27,354.65
69,1,3017,6,1,3,274.26
46,1,3143,8,6,33,482.37
55,1,2370,6,4,45,631.09
59,0,2365,10,0,13,316.12
38,0,2586,3,0,12,229.12
59,1,4911,5,1,48,661.84
30,1,4080,9,5,57,620.97
66,0,4950,8,0,48,614.88
58,0,4089,6,1,53,632.64
34,0,4336,9,5,49,563.25
26,1,3042,2,1,2,285.1
58,0,3203,9,4,20,427.97
18,0,4015,10,4,15,335.44
19,1,3383,10,4,50,510.35
65,1,1478,6,3,37,442.64
46,1,2591,9,6,54,636.51
50,0,2246,4,4,25,416.42
27,0,1617,5,0,5,102.96
67,1,4245,2,0,17,468.2
57,0,1566,3,3,40,384.65
38,0,3126,1,1,49,527.3
45,0,2944,4,1,5,248.64
28,1,3007,2,1,40,576.4
51,1,3457,2,2,56,635.74
25,0,4557,1,1,49,591.95
39,0,4532,10,3,24,403.87
25,0,4242,2,0,47,497.69
66,0,2902,4,3,23,452.91
32,1,4044,6,5,29,459.53
34,1,2119,7,1,22,344.97
40,0,3346,7,3,44,549.89
41,0,1590,7,2,42,375.13
62,1,2483,4,4,7,330.56
36,0,2507,5,0,57,572.5
22,1,1524,3,1,55,396.61
49,0,2168,1,1,48,464.19
61,1,2308,8,5,8,341.99
18,0,3338,10,7,5,251.06
40,0,4280,7,1,32,501.08
54,1,1570,9,0,32,386.22
